origen_id,destino_id,distancia_km,tiempo_min
106,56,61.162949999999995,54.52283333333333
106,57,91.53693,73.60266666666666
106,58,101.23973,73.33916666666667
106,59,37.88245,45.9295
106,60,49.53675,39.961
106,61,98.5382,91.91733333333333
106,62,4.403569999999999,12.285166666666667
106,63,47.3805,49.32283333333333
106,64,45.94733,47.221333333333334
106,65,89.18718,75.1395
106,66,92.83774000000001,71.78150000000001
106,67,52.09497,49.64683333333333
106,68,56.13465,67.82283333333334
106,69,48.527269999999994,46.06583333333333
106,70,85.08189999999999,103.24033333333334
106,71,61.54134,59.56916666666667
106,72,71.46213,55.96033333333333
106,73,53.59034,48.76933333333333
106,74,59.69171,58.787166666666664
106,75,50.62679,53.955666666666666
106,76,36.48565,37.38533333333333
106,77,93.51481,72.64899999999999
106,78,66.60541,79.735
106,79,54.935199999999995,63.50266666666666
106,80,76.36343,67.90183333333333
106,81,78.14956,77.798
106,82,52.876940000000005,45.02166666666667
106,83,61.82011,74.40533333333333
106,84,55.91849,61.095166666666664
106,85,107.28366,84.02616666666667
106,86,36.512980000000006,35.660333333333334
106,87,113.79773,79.51016666666666
106,88,77.89352000000001,63.535999999999994
106,89,93.12013,70.40866666666668
106,90,57.75158999999999,55.3985
106,91,43.894949999999994,45.60366666666666
106,92,81.40659,91.55566666666667
106,93,59.847269999999995,56.00233333333333
106,94,40.795339999999996,41.83566666666666
106,95,91.42264,75.00383333333333
106,96,28.45979,39.72866666666666
106,97,43.30414,46.94466666666666
106,98,53.82954,51.5615
106,99,44.06987,41.213499999999996
106,100,45.2307,48.7885
106,101,83.78021000000001,75.03999999999999
106,102,69.74363000000001,68.40283333333333
106,103,55.39939,57.175333333333334
106,104,38.00483,51.883
106,105,31.08764,42.17366666666667
106,106,0.0,0.0
106,107,35.316739999999996,42.44133333333333
106,108,30.966369999999998,34.566833333333335
106,109,32.00765,35.1885
106,110,29.035400000000003,33.944
106,111,30.72024,38.126
106,112,35.288410000000006,42.91616666666666
106,113,27.790470000000003,29.884999999999998
106,114,29.29934,30.3085
106,115,29.715400000000002,30.929
106,116,36.43896,41.21133333333333
106,117,199.28911,142.20116666666667
106,118,131.62444,93.53516666666665
106,119,235.24589,161.621
106,120,115.20152,79.923
106,121,127.09021000000001,92.29616666666668
107,0,18.0295,23.273666666666667
107,1,6.71925,15.2395
107,2,101.60206,74.10516666666668
107,3,107.38508999999999,120.61666666666666
107,4,18.85071,22.188333333333333
107,5,19.74884,31.369333333333334
107,6,17.99728,24.232666666666667
107,7,54.024010000000004,55.857
107,8,10.06851,17.961666666666666
107,9,104.25737,97.02866666666667
107,10,67.81341,58.07783333333334
107,11,20.244919999999997,23.595000000000002
107,12,49.19541,45.2455
107,13,28.460189999999997,29.884999999999998
107,14,39.03668,43.84316666666667
107,15,135.49108999999999,103.87566666666666
